code,name,city_code,district_code,type
4111156000,파장동,,4111100000,DONG
4111156600,율천동,,4111100000,DONG
4111157100,정자1동,,4111100000,DONG
4111157200,정자2동,,4111100000,DONG
4111157300,정자3동,,4111100000,DONG
4111158000,영화동,,4111100000,DONG
4111159100,송죽동,,4111100000,DONG
4111159700,조원1동,,4111100000,DONG
4111159800,조원2동,,4111100000,DONG
4111160000,연무동,,4111100000,DONG
4111352000,세류1동,,4111300000,DONG
4111353000,세류2동,,4111300000,DONG
4111354000,세류3동,,4111300000,DONG
4111355000,평동,,4111300000,DONG
4111356000,서둔동,,4111300000,DONG
4111365000,구운동,,4111300000,DONG
4111366200,금곡동,,4111300000,DONG
4111366400,호매실동,,4111300000,DONG
4111367000,권선1동,,4111300000,DONG
4111368000,권선2동,,4111300000,DONG
4111369000,곡선동,,4111300000,DONG
4111370000,입북동,,4111300000,DONG
4111565000,매교동,,4111500000,DONG
4111566000,매산동,,4111500000,DONG
4111567000,고등동,,4111500000,DONG
4111568000,화서1동,,4111500000,DONG
4111569000,화서2동,,4111500000,DONG
4111570000,지동,,4111500000,DONG
4111571000,우만1동,,4111500000,DONG
4111572000,우만2동,,4111500000,DONG
4111573000,인계동,,4111500000,DONG
4111574000,행궁동,,4111500000,DONG
4111751000,매탄1동,,4111700000,DONG
4111752000,매탄2동,,4111700000,DONG
4111753000,매탄3동,,4111700000,DONG
4111754000,매탄4동,,4111700000,DONG
4111755000,원천동,,4111700000,DONG
4111757000,영통1동,,4111700000,DONG
4111758000,영통2동,,4111700000,DONG
4111758500,영통3동,,4111700000,DONG
4111759300,망포1동,,4111700000,DONG
4111759600,망포2동,,4111700000,DONG
4111760000,광교1동,,4111700000,DONG
4111761000,광교2동,,4111700000,DONG
4113151000,신흥1동,,4113100000,DONG
4113152000,신흥2동,,4113100000,DONG
4113153000,신흥3동,,4113100000,DONG
4113154000,태평1동,,4113100000,DONG
4113155000,태평2동,,4113100000,DONG
4113156000,태평3동,,4113100000,DONG
4113156100,태평4동,,4113100000,DONG
4113157000,수진1동,,4113100000,DONG
4113158000,수진2동,,4113100000,DONG
4113159000,단대동,,4113100000,DONG
4113160000,산성동,,4113100000,DONG
4113161000,양지동,,4113100000,DONG
4113162000,복정동,,4113100000,DONG
4113162500,위례동,,4113100000,DONG
4113163000,신촌동,,4113100000,DONG
4113164000,고등동,,4113100000,DONG
4113165000,시흥동,,4113100000,DONG
4113351000,성남동,,4113300000,DONG
4113352500,중앙동,,4113300000,DONG
4113353000,금광1동,,4113300000,DONG
4113354000,금광2동,,4113300000,DONG
4113355000,은행1동,,4113300000,DONG
4113356000,은행2동,,4113300000,DONG
4113357000,상대원1동,,4113300000,DONG
4113358000,상대원2동,,4113300000,DONG
4113359000,상대원3동,,4113300000,DONG
4113366000,하대원동,,4113300000,DONG
4113367000,도촌동,,4113300000,DONG
4113551000,분당동,,4113500000,DONG
4113552000,수내1동,,4113500000,DONG
4113553000,수내2동,,4113500000,DONG
4113554000,수내3동,,4113500000,DONG
4113554500,정자동,,4113500000,DONG
4113555000,정자1동,,4113500000,DONG
4113556000,정자2동,,4113500000,DONG
4113557000,정자3동,,4113500000,DONG
4113558000,서현1동,,4113500000,DONG
4113559000,서현2동,,4113500000,DONG
4113560000,이매1동,,4113500000,DONG
4113561000,이매2동,,4113500000,DONG
4113562000,야탑1동,,4113500000,DONG
4113563000,야탑2동,,4113500000,DONG
4113564000,야탑3동,,4113500000,DONG
4113565000,판교동,,4113500000,DONG
4113565500,삼평동,,4113500000,DONG
4113565700,백현동,,4113500000,DONG
4113566200,금곡동,,4113500000,DONG
4113566500,구미1동,,4113500000,DONG
4113567000,구미동,,4113500000,DONG
4113568000,운중동,,4113500000,DONG
4115051000,의정부1동,4115000000,,DONG
4115052000,의정부2동,4115000000,,DONG
4115054500,호원1동,4115000000,,DONG
4115055500,호원2동,4115000000,,DONG
